Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Area,Road Width,Road Type,Build Area,Amenities,Pricepersqft
Other,Kathmandu,1100000,0,0,3.0,0,South,2074.0,1369.0,10.0,None,1369.0,0,803.5062089116143
Chabahil,Kathmandu,8500000,0,0,3.0,0,South,2074.0,9001.25,13.0,None,9001.25,0,944.3132898208582
Other,Kathmandu,2850000,0,0,3.0,0,South,2074.0,1369.0,10.0,None,1369.0,0,2081.811541271001
Other,Kathmandu,1450000,0,0,3.0,0,West,2074.0,1711.25,20.0,None,1711.25,0,847.3338203067933
Budhanilkantha,Kathmandu,2600000,0,0,3.0,0,East,2074.0,14032.25,15.0, Blacktopped,14032.25,0,185.28746280888666
Budhanilkantha,Kathmandu,3800000,0,0,3.0,0,East,2074.0,5476.0,30.0, Blacktopped,5476.0,0,693.9371804236669
Budhanilkantha,Kathmandu,3500000,0,0,3.0,0,South,2074.0,3422.5,30.0, Blacktopped,3422.5,0,1022.6442658875092
Other,Kathmandu,1000000,0,0,3.0,0,North,2074.0,1026.75,26.0,None,1026.75,1,973.9469198928658
Golfutar,Kathmandu,4200000,0,0,3.0,0,South,2074.0,2738.0,15.0,None,2738.0,0,1533.9663988312636
Budhanilkantha,Kathmandu,6000000,0,0,3.0,0,East,2074.0,43808.0,35.0, Blacktopped,43808.0,0,136.96128560993427
Other,Bhaktapur,2100000,0,0,3.0,0,South,2074.0,2053.5,0.0,None,2053.5,0,1022.6442658875092
Imadol,Lalitpur,3500000,0,0,3.0,0,South West,2074.0,1540.125,22.96588, Gravelled,1540.125,0,2272.542813083354
Bhangal,Kathmandu,2450000,0,0,3.0,0,North East,2074.0,1711.25,16.0,None,1711.25,0,1431.7019722425127
Baluwatar,Kathmandu,5700000,0,0,3.0,0,East,2074.0,5476.0,14.0,None,5476.0,0,1040.9057706355004
Other,Kathmandu,7000000,0,0,3.0,0,East,2074.0,4107.0,25.0,None,4107.0,0,1704.4071098125153
Hattigauda,Kathmandu,2500000,0,0,3.0,0,South,2074.0,3080.25,15.0, Blacktopped,3080.25,0,811.6224332440548
Budhanilkantha,Kathmandu,4000000,0,0,3.0,0,North East,2074.0,21904.0,15.0, Soil Stabilized,21904.0,0,182.61504747991233
Other,Kathmandu,5700000,0,0,3.0,0,East,2074.0,1369.0,15.0, Blacktopped,1369.0,0,4163.623082542002
Golfutar,Kathmandu,3000000,0,0,3.0,0,South West,2074.0,1711.25,13.0, Soil Stabilized,1711.25,0,1753.1044558071585
Other,Kathmandu,5500000,0,0,3.0,0,South,2074.0,4107.0,0.0,None,4107.0,0,1339.1770148526905
Other,Kathmandu,7000000,0,0,3.0,0,East,2074.0,2395.75,29.52756, Blacktopped,2395.75,0,2921.8407596785974
Other,Bhaktapur,550000,0,0,3.0,0,South,2074.0,14357.5,10.0, Gravelled,14357.5,0,38.307504788438095
Other,Lalitpur,35000000,0,0,3.0,0,North East,2074.0,1400.0,20.0,None,1400.0,0,25000.0
Other,Kathmandu,1900000,0,0,3.0,0,South East,2074.0,8556.25,22.0,None,8556.25,0,222.0598977355734
