Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Year,Area,Road Width,Road Type,Build Area,Amenities
Other,Kathmandu,23000000,3,3,3.0,1,South,2074.0,1583.0,20.0,None,1583.0,14
Other,Kathmandu,290000,0,1,1.0,1,East,2074.0,900.0,12.0, Paved,900.0,5
Other,Kathmandu,11000000,0,0,3.0,0,North,2074.0,14015.25,32.0,None,14015.25,0
Other,Kathmandu,11000000,0,0,3.0,0,South,2074.0,3422.5,40.0,None,3422.5,0
Other,Kathmandu,10000000,0,0,3.0,0,East,2074.0,8898.5,35.0, Blacktopped,8898.5,0
Kapan,Kathmandu,3500000,0,0,3.0,0,East,2074.0,5476.0,14.0, Gravelled,5476.0,0
Other,Kathmandu,2400000,0,0,3.0,0,South East,2074.0,1369.0,16.0, Blacktopped,1369.0,0
Other,Kathmandu,3500000,0,0,3.0,0,South West,2074.0,342.25,16.0,None,342.25,0
Other,Kathmandu,760000,0,0,3.0,0,North West,2074.0,342.25,0.0,None,342.25,0
Other,Kathmandu,7000000,0,0,3.0,0,South East,2074.0,7974.5,26.0,None,7974.5,0
Other,Kathmandu,2500000,0,0,3.0,0,South West,2074.0,11054.75,14.0,None,11054.75,0
Other,Kathmandu,6000000,0,0,3.0,0,North,2074.0,2738.0,32.0,None,2738.0,0
Samakhusi,Kathmandu,24500000,0,3,2.0,1,East,2074.0,1026.75,16.0, Gravelled,1026.75,18
Budhanilkantha,Kathmandu,2850000,0,0,3.0,0,West,2074.0,5818.25,13.0,None,5818.25,0
Other,Kathmandu,2500000,0,0,3.0,0,South East,2074.0,11054.75,14.0,None,11054.75,0
Budhanilkantha,Kathmandu,2600000,0,0,3.0,0,North,2074.0,10952.0,14.0,None,10952.0,0
Other,Kathmandu,17000000,5,3,3.0,1,West,2074.0,1026.75,14.0,None,1026.75,9
Other,Kathmandu,2850000,0,0,3.0,0,South East,2074.0,5356.25,12.0,None,5356.25,0
Other,Kathmandu,4000000,0,0,3.0,0,South East,2074.0,16428.0,20.0,None,16428.0,0
Other,Kathmandu,15000000,0,0,3.0,1,East,2074.0,11741.25,20.0, Blacktopped,11741.25,0
Chabahil,Kathmandu,5500000,0,0,3.0,0,South East,2074.0,6160.5,36.0,None,6160.5,0
Other,Kathmandu,1150000,0,0,3.0,0,East,2074.0,6040.75,11.0, Gravelled,6040.75,0
Sitapaila,Kathmandu,4200000,0,0,3.0,0,East,2074.0,4449.25,36.08924, Blacktopped,4449.25,0
Other,Kathmandu,28500000,6,6,3.0,1,South East,2074.0,9001.25,20.0,None,9001.25,0
Kapan,Kathmandu,3000000,0,0,3.0,0,East,2074.0,1369.0,13.0, Soil Stabilized,1369.0,0
Other,Kathmandu,32500000,11,0,3.0,1,East,2074.0,1540.125,20.0, Blacktopped,1540.125,0
Other,Kathmandu,17000000,0,2,3.0,1,South,2017.0,1060.975,20.0, Blacktopped,1095.2,1
Other,Kathmandu,15000000,0,0,3.0,0,East,2074.0,2738.0,45.0, Blacktopped,2738.0,0
Other,Kathmandu,1300000,0,0,3.0,0,North,2074.0,4791.5,20.0, Blacktopped,4791.5,0
Other,Kathmandu,10500000,0,0,3.0,0,East,2074.0,6040.75,0.0,None,6040.75,0
Other,Kathmandu,50000000,3,3,3.0,2,South,2070.0,27380.0,20.0, Blacktopped,27380.0,1
Tokha,Kathmandu,30000000,6,5,3.0,2,North,2019.0,1711.25,14.0, Gravelled,3922.08,6
Budhanilkantha,Kathmandu,57500000,4,5,3.0,1,South West,2076.0,2738.0,20.0, Paved,2738.0,11
Chabahil,Kathmandu,30000000,0,3,3.0,1,East,2074.0,684.5,25.0, Blacktopped,684.5,13
Chabahil,Kathmandu,15500000,0,0,3.0,0,East,2074.0,1369.0,18.0, Blacktopped,1369.0,0
Baluwatar,Kathmandu,7500000,0,0,3.0,0,East,2074.0,10370.25,20.0, Blacktopped,10370.25,0
Chabahil,Kathmandu,60000000,0,0,2.0,3,East,2074.0,10370.25,15.0, Blacktopped,10370.25,18
Other,Kathmandu,1200000,0,0,3.0,0,North East,2074.0,12304.0,20.0, Concrete,12304.0,0
Other,Kathmandu,2700000,0,0,3.0,0,North East,2074.0,1711.25,12.0, Blacktopped,3600.0,2
