,Address,City,Bedroom,Bathroom,Parking,Face,Views,Area,Road Width,Road Type
155, Tokha,Kathmandu,3,2,1,North,1100.0,1369.0,0.0, Blacktopped
156, Dharan,Dharan,0,0,0,East,142.0,2369.25,25.0, Blacktopped
157, Jhamsikhel,Lalitpur,2,2,2,East,301.0,2053.5,10.0, Soil Stabilized
158, height,Kathmandu,0,1,1,East,127.0,1369.0,12.0, Paved
159, Basbari,Kathmandu,3,4,2,South,173.0,171125.0,0.0,
160, Sano Gaucharan,Kathmandu,0,0,0,North,197.0,318292.5,32.0,
161, Chhauni,Kathmandu,0,0,0,North,123.0,342.25,10.0,
162, Gaushala,Kathmandu,0,0,0,West,207.0,342250.0,12.0,
163, Naya Bazar,Kathmandu,0,0,0,South,85.0,342250.0,40.0,
164, Bharatpur,Chitwan,0,0,0,South,159.0,4107.0,19.68504, Blacktopped
165, Jorpati,Kathmandu,1,1,1,East,390.0,380277777777739.75,0.0,
166, Hattiban,Lalitpur,0,0,0,East,368.0,136900.0,19.68504,
167, Bhaisepati,Lalitpur,3,2,1,East,975.0,1369.0,40.0, Blacktopped
168, Hattiban,Lalitpur,4,3,2,East,454.0,1369.0,0.0,
169, Sallaghari,Bhaktapur,4,3,2,East,407.0,1369.0,0.0,
170, Kumaripati,Lalitpur,5,4,4,East,166.0,3422.5,0.0,
171, Mid Baneshwor,Kathmandu,0,0,0,East,330.0,889850.0,35.0, Blacktopped
172, Kapan,Kathmandu,0,0,0,East,130.0,5476.0,14.0, Gravelled
173, Nasal Chowk,Kathmandu,0,0,0,South East,115.0,136900.0,16.0, Blacktopped
174, Bhaktapur,Bhaktapur,0,0,0,East,72.0,6094788.0,13.0,
175, Dhara Marg,Kathmandu,0,0,0,East,121.0,82140.0,0.0,
176, Imadol,Lalitpur,0,0,0,East,1100.0,249842.5,13.0, Blacktopped
177, Dhapasi,Kathmandu,0,0,1,East,1000.0,205350.0,25.0, Blacktopped
178, Naya Bazar,Kathmandu,0,0,0,South West,98.0,342.25,16.0,
179, Sankhamul,Kathmandu,0,0,0,North West,81.0,342.25,0.0,
180, Naya Bazar,Kathmandu,0,0,0,South East,94.0,75295.0,26.0,
181, Ramkot,Kathmandu,0,0,0,South West,74.0,383320.0,14.0,
182, Swayambhu,Kathmandu,0,0,0,North,75.0,273800.0,32.0,
183, Samakhusi,Kathmandu,0,3,1,East,206.0,102675.0,16.0, Gravelled
184, Budhanilkantha,Kathmandu,0,0,0,West,295.0,376475.0,13.0,
185, Nagarjun,Kathmandu,0,0,0,South East,311.0,383320.0,14.0,
186, Manamaiju,Kathmandu,0,0,0,West,352.0,9856800.0,20.0, Soil Stabilized
187, Lekhnath,Pokhara,3,2,3,East,154.0,16428.0,14.0, Blacktopped
188, Budhanilkantha,Kathmandu,0,0,0,North,307.0,10952000.0,14.0,
189, Manamaiju,Kathmandu,5,3,1,West,248.0,102675.0,14.0,
190, Sunaulo Marg,Pokhara,2,1,1,East,439.0,29091.25,13.0, Paved
191, Raniban,Kathmandu,0,0,0,South East,303.0,174547.5,12.0,
192, Thulo Bharyang,Kathmandu,0,0,0,South East,245.0,16428000.0,20.0,
193, Sunsari,Sunsari,0,0,0,East,169.0,1822.5,20.0, Gravelled
194, Hattisar,Kathmandu,0,0,1,East,1200.0,452454.5,20.0, Blacktopped
195, Sunsari,Sunsari,0,0,0,East,143.0,2369.25,16.0, Gravelled
196, Sitapaila,Kathmandu,4,3,1,South East,439.0,1369.0,22.0, Gravelled
197, Chabahil,Kathmandu,0,0,0,South East,73.0,410700.0,36.0,
198, Basbari,Kathmandu,6,4,2,East,151.0,3422.5,0.0,
199, Swayambhu,Kathmandu,0,0,0,East,565.0,242997.5,11.0, Gravelled
200, Baghbazaar,Kathmandu,6,2,2,East,192.0,607836.0,14.0, Blacktopped
201, Soltimode,Kathmandu,3,2,1,East,78.0,3422.5,0.0,
202, Budhanilkantha,Kathmandu,5,4,4,East,323.0,8556.25,0.0,
203, Thaha Nagarpalika,Makwanpur,0,0,0,North West,191.0,49284.0,14.0, Gravelled
204, Sitapaila,Kathmandu,0,0,0,East,103.0,444925.0,36.08924, Blacktopped
205, Patan,Lalitpur,0,0,0,East,124.0,1369.0,0.0,
